Chemical Name,CAS Number,
(±)-Citronellyl acetate ,675-20-7,
Aldosterone ,10328-70-8,
Arachidonic acid ,506-32-1,
Butyrylcarnitine,25576-40-3,
Cholesterol sulfate ,1256-86-6,
Cytosine ,118511-36-7,
Docosahexaenoic acid ,25377-50-8,
Ergothioneine ,497-30-3,
Indole-3-propionic acid ,830-96-6,
Indoxyl sulfate ,130385-38-5,
"LysoPC(18:3(6Z,9Z,12Z))","LysoPC(18:3(6Z,9Z,12Z))",
"LysoPC(18:3(9Z,12Z,15Z)) ","LysoPC(18:3(9Z,12Z,15Z)) ",
"LysoPC(20:4(5Z,8Z,11Z,14Z))","LysoPC(20:4(5Z,8Z,11Z,14Z))",
"LysoPC(20:4(8Z,11Z,14Z,17Z)) ","LysoPC(20:4(8Z,11Z,14Z,17Z)) ",
"LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)
)","LysoPC(22:6(4Z,7Z,10Z,13Z,16Z,19Z)
)",
LysoPE(18:1(9Z)/0:0) ,LysoPE(18:1(9Z)/0:0) ,
Myristoleic acid,544-64-9,
Palmitic acid ,408-35-5,
Pipecolic acid ,119678-10-3,
Propionylcarnitine ,17298-37-2,
Stearic acid ,126539-56-8,
α-Linolenic acid ,463-40-1,
"(2E,4E)-2,4-Hexadienoic acid",110-44-1,
"(2R)-3-(Phosphonooxy)propane-1,2-diyldiheptanoate",5487-64-9,
"(3E,5Z)-Tetradecadienoate ",25245804,
"(9S,10S)-9,10-Dihydroxyoctadecanoate",25201168,
"12,13-DHOME ",263399-35-5,
"2,3,5-Trimethoxy-6-(1E)-1-propenyl-2,5-cyclohexadiene-1,4-dione",1128-13-8,
"2,5-Furandicarboxylic acid ",3238-40-2,
"24-Oxo-1α,23,25-trihydroxyvitamin D3 ",81515-15-3,
2-Aminoheptanoate ,111-87-5,
2-Octenyl acetate ,26806-12-2,
2'-O-methyl-5-methyluridine ,114952-97-5,
3b-Hydroxy-5-cholenoic acid ,5255-17-4,
