Chemical Name,CAS Number
2-Hydroxybutyric acid,20016-85-7
3-Hydroxybutyric acid,300-85-6
Acetaminophen,103-90-2
Acetic acid,1173022-32-6
Acetoacetic acid,4387-93-3
Acetone,4468-52-4
Alpha-ketoisovaleric acid ,759-05-7
Betaine,107-43-7
Choline,123-41-1
Citric acid,12262-73-6
Creatine,57-00-1
Creatinine,60-27-5
D-Glucose,2280-44-6
Ethanol,121182-78-3
Formic acid,1260-17-9
Glycerol,25618-55-7
Glycine,112898-03-0
Hypoxanthine,146469-94-5
Isobutyric acid,149-57-5
Isopropyl alcohol ,21388-65-8
L-Alanine,115967-49-2
L-Asparagine,3130-87-8
L-Carnitine,44985-71-9
L-Glutamic acid,56-86-0
L-Glutamine,32640-56-5
L-Histidine,150-35-6
L-Isoleucine,24629-25-2
L-Lactic acid,1715-99-7
L-Leucine,112245-13-3
L-Lysine,20166-34-1
L-Methionine,24425-78-3
L-Ornithine,410523-46-5
L-Phenylalanine,149597-92-2
L-Proline,1150316-19-0
L-Threonine,13095-55-1
L-Tyrosine,55520-40-6
L-Valine,146548-59-6
Malonic acid,141-82-2
Methanol,14742-26-8
Methylmalonic acid,516-05-2
Propylene glycol,25322-68-3
Pyruvic aicd,113-24-6
Urea,4744-36-9
Xanthine,16819-86-6
