,商品名,价格,店铺,销量,省份
0,【礼券】GODIVA歌帝梵中秋限量版礼盒组合装巧克力月饼形糕点送礼,262.0,godiva歌帝梵旗舰店,41.0,上海
1,知味观清风揽月中秋广式月饼礼盒装流心奶黄高档团购批发送礼礼品,158.0,知味观官方旗舰店,142.0,浙江
2,中秋月饼提篮礼盒装中秋节礼品冰皮五仁散装多口味大月饼送礼团购,99.0,or7028,968.0,福建
3,amalee艾玛琳燕窝月饼礼盒装散装流心奶黄多口味广式中秋送礼高档,298.0,年轮堂食品专营店,1168.0,广东
4,中秋月饼礼盒装广式五仁椰蓉蛋黄豆沙酥月饼散装多口味送礼品老式,29.9,欧贝拉旗舰店,485.0,福建
5,amalee艾玛琳燕窝月饼礼盒装散装广式多口味流心奶黄中秋送礼高档,298.0,雨田食品专营店,1213.0,广东
6,恒宝月饼礼盒装散装广式多口味中秋节双黄蛋黄莲蓉香港送礼大高档,168.0,年轮堂食品专营店,1281.0,广东
7,猫山王榴莲冰皮月饼礼盒装 中秋节高端流心网红水果月饼送人礼品,288.0,盛园祥食品旗舰店,453.0,江苏
8,三山五园联名款颐和园中秋流心奶黄月饼礼盒装台式酥皮月饼送礼,188.0,多一步食品专营店,359.0,福建
9,高档中秋节手工台式酥皮流心奶黄散装多口味月饼送礼品团购礼盒装,198.0,六八创享食品专营店,75.0,福建
10,稻香村月饼礼盒上品官礼880g中秋节月饼礼盒公司送礼团购礼品,229.0,悠然东方食品专营店,704.0,北京
11,美心月饼流心奶黄月饼礼盒中秋送礼香港正宗进口港版流心式蛋黄装,268.0,创意淘一站,672.0,广东
12,三山五园联名中秋流心奶黄月饼礼盒装送礼颐和园台式酥皮月饼高档,268.0,宝岛太阳堂食品旗舰店,432.0,福建
13,恒宝月饼礼盒装散装广式多口味香港中秋节双黄莲蓉蛋黄送礼大高档,168.0,雨田食品专营店,1289.0,广东
14,中国香港美心流心奶黄月饼礼盒中秋送礼进口港式特产奶黄蛋黄流沙,358.0,美心官方旗舰店,20000.0,上海
15,月饼礼盒装酥心意燕窝奶黄流心多口味高档礼品团购中秋节月饼送礼,238.0,酥心意旗舰店,607.0,福建
16,稻香村月饼礼盒装送礼高档三层广式双蛋黄莲蓉五仁多口味顺丰包邮,168.0,恩腾食品专营店,1918.0,北京
17,元祖月饼券票298型元祖雪月饼198-680中秋冰淇淋月饼礼券提货券,233.0,nsqf06,434.0,上海
18,稻香村月饼礼盒装广式蛋黄莲蓉京式五仁豆沙多口味散装中秋节特产,158.0,稻香村食品旗舰店,10000.0,北京
19,帝辉中秋节广东广式多口味五仁鲍鱼双蛋黄莲蓉月饼礼盒装高档送礼,139.0,hello树先森,1880.0,广东
20,一方善土中秋节广式燕窝冰皮月饼企业定制团购榴莲奶黄茶礼盒送礼,218.0,新闻1124,748.0,广东
21,大耳蔡月饼礼盒装中秋节礼品高端档广式燕窝奶黄流心月饼团购送礼,268.0,大耳蔡旗舰店,663.0,福建
22,稻香村月饼礼盒装蛋黄莲蓉五仁豆沙多口味广式老式中秋节送礼礼品,39.9,稻香村河北专卖店,10000.0,北京
23,美心月饼券票流心奶黄月饼礼盒中秋礼品提货券全国通用可发实物,182.4,南京普众电子,665.0,上海
24,高档中秋节手工台式酥皮台湾大月饼散装多口味送礼团购三层礼盒装,228.0,草帽路飞食品旗舰店,445.0,福建
25,金尊月饼中秋节广式双黄莲蓉蛋黄礼盒装铁盒铁罐送礼散装多口味,49.9,金尊旗舰店,15000.0,广东
26,帝辉广东广式中秋节七星伴月月饼礼盒装送礼铁盒双蛋黄莲蓉多口味,69.9,hello树先森,15000.0,广东
27,稻香村稻香盛世双层蛋黄月饼礼盒装广式糕点特产中秋节团购送礼品,159.0,稻香村河北专卖店,2935.0,北京
28,稻香村月饼双层礼盒装蛋黄莲蓉京式五仁多口味散装中秋特产送礼袋,128.0,稻香村食品旗舰店,4376.0,北京
29,利口福广州酒家月饼双黄白莲蓉中秋月饼广式月饼750g礼盒装送礼,168.0,恒实生物科技,964.0,广东
30,郭师傅厂家直销广式月饼 断货王 经典叉烧皇月饼筒装 （187.5g*4),65.0,郭师傅旗舰店,5500.0,广东
31,amalee艾玛琳燕窝月饼流心奶黄散装网红多口味中秋节礼盒装送礼,298.0,amalee旗舰店,1373.0,湖北
32,金九月饼2斤五仁金腿 广东吴川金九大月饼五仁火腿2斤装礼盒团购,208.0,金九月饼特卖,836.0,广东
33,高档燕窝奶黄流心月饼网红散装多口味中秋节送礼品团购定制礼盒装,298.0,六八创享食品专营店,664.0,湖北
34,现货猫山王榴莲冰皮月饼顺丰包邮 中秋礼品送礼月饼礼盒装60g*6只,238.0,榴芒事迹旗舰店,194.0,福建
35,金尊广式广东中秋节蛋黄莲蓉月饼豆沙水果多口味铁盒礼盒送礼散装,45.9,金尊旗舰店,10000.0,广东
36,流心奶黄月饼 高端礼盒装中秋送礼港式广式流心 蛋黄点心休闲零食,168.0,诚可嘉食品专营店,1280.0,广西
37,中国香港美心流心奶黄月饼8个礼盒装流沙蛋黄港式进口送礼品中秋,288.0,lzcwzxx,6000.0,广东
38,中国香港美心双黄白莲蓉月饼礼盒装进口蛋黄顺丰港式中秋礼品送礼,258.0,lzcwzxx,997.0,广东
39,杏花楼月饼券 248型花色提篮票中秋广式月饼礼盒提货券 上海使用,160.0,爱的选择love,265.0,上海
40,昆明冠生园云腿月饼80gX10枚老字号中秋火腿月饼云腿酥皮月饼散装,69.0,云之冠食品专营店,3240.0,云南
41,北京稻香村中秋礼品广式椰蓉双蛋黄莲蓉红豆沙月饼礼盒装送礼传统,299.0,北京稻香村旗舰店,1414.0,北京
